iter	Passed	Remaining
0	53	53827
1	54	27318
2	55	18447
3	56	13961
4	56	11319
5	57	9532
6	58	8273
7	59	7330
8	59	6597
9	60	5994
10	61	5505
11	62	5112
12	62	4775
13	63	4472
14	64	4212
15	64	3981
16	65	3787
17	66	3612
18	66	3457
19	67	3313
20	68	3184
21	68	3066
22	69	2959
23	70	2856
24	70	2767
25	71	2682
26	72	2604
27	72	2532
28	73	2467
29	74	2403
30	75	2344
31	75	2286
32	76	2237
33	77	2187
34	77	2143
35	78	2100
36	79	2061
37	79	2022
38	80	1984
39	81	1949
40	81	1914
41	82	1881
42	83	1850
43	83	1820
44	84	1790
45	85	1765
46	85	1737
47	86	1711
48	86	1687
49	87	1662
50	88	1640
51	88	1618
52	89	1595
53	89	1575
54	90	1556
55	91	1537
56	91	1518
57	92	1500
58	92	1482
59	93	1466
60	94	1451
61	94	1434
62	95	1420
63	96	1405
64	96	1392
65	97	1379
66	98	1366
67	98	1352
68	99	1340
69	99	1327
70	100	1316
71	101	1304
72	101	1293
73	102	1281
74	102	1270
75	103	1259
76	104	1249
77	104	1238
78	105	1229
79	106	1219
80	106	1210
81	107	1201
82	107	1189
83	108	1180
84	108	1171
85	109	1163
86	110	1155
87	110	1147
88	111	1140
89	111	1132
90	112	1124
91	113	1116
92	113	1109
93	114	1102
94	114	1095
95	115	1088
96	116	1082
97	116	1075
98	117	1068
99	118	1062
100	118	1055
101	119	1049
102	119	1043
103	120	1036
104	120	1030
105	121	1024
106	122	1019
107	122	1013
108	123	1007
109	123	1002
110	124	996
111	125	991
112	125	985
113	126	981
114	126	976
115	127	971
116	127	965
117	128	960
118	129	955
119	129	950
120	130	945
121	130	939
122	131	935
123	131	930
124	132	926
125	132	922
126	133	916
127	133	912
128	134	908
129	135	903
130	135	898
131	136	894
132	136	890
133	137	887
134	137	882
135	138	878
136	138	874
137	139	869
138	139	865
139	140	861
140	140	857
141	140	851
142	141	847
143	141	844
144	142	839
145	142	836
146	143	832
147	143	828
148	144	824
149	144	821
150	145	817
151	145	813
152	146	810
153	146	806
154	147	802
155	147	799
156	148	795
157	148	792
158	149	788
159	149	785
160	149	780
161	150	777
162	150	773
163	151	770
164	151	767
165	151	763
166	152	760
167	152	757
168	153	754
169	153	750
170	154	747
171	154	744
172	155	741
173	155	738
174	156	735
175	156	732
176	156	729
177	157	726
178	157	724
179	158	721
180	158	718
181	159	716
182	159	713
183	160	710
184	160	708
185	161	705
186	161	702
